Z,N,exp,sd,SKM,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,A,AME2016,S2n_16,AME2003,S2n_03
23.0,28.0,20.38455,0.00092,21.480185,20.168184,20.227204,20.145876,20.473141,20.022674,51.0,445.84704899999997,20.384556999999973,445.844601,20.387106999999958
23.0,30.0,15.78985,0.00314,17.190708,17.737393,16.303114,17.049829,17.424401,16.502682,53.0,461.63689,15.789841000000024,461.63466399999993,15.790062999999918
23.0,32.0,13.43616,0.09515,14.84556,15.097095,13.718327,14.083222,14.326596,13.674706,55.0,475.07306,13.436170000000004,475.0799349999999,13.445270999999991
23.0,34.0,11.4115,0.12459,11.278809,12.089389,11.345313,11.499203,11.20578,11.003546,57.0,486.4845689999999,11.41150899999991,486.25981799999994,11.179883000000018
23.0,36.0,9.5612,0.18078,9.844275999999999,10.230793,9.777676,10.163155,9.884160000000001,9.39302,59.0,496.045745,9.561176000000103,495.280279,9.020461000000068
24.0,24.0,29.49309,0.01359,28.629125,27.353724,28.281315,27.948887,27.514426,28.62628,48.0,411.46891200000005,29.493054000000086,411.4660799999999,29.488059999999848
24.0,26.0,23.58269,0.00731,25.063581,24.115955,24.312297,24.337455,24.60127,24.32363,50.0,435.0516,23.582687999999962,435.04905,23.582970000000103
24.0,28.0,21.2998,0.00054,22.296361,21.313493,21.203929,21.299649,21.806128,21.121052,52.0,456.35142799999994,21.299827999999934,456.34908799999994,21.300037999999915
24.0,30.0,17.65816,0.00018,18.298204,18.846406,17.773328,18.259526,18.745926,17.676018,54.0,474.00957,17.658142000000055,474.0073560000001,17.658268000000135
24.0,32.0,14.49287,0.00062,15.991463,16.359318,14.94969,15.319053,15.537689,14.878804,56.0,488.50244799999996,14.492877999999962,488.498696,14.491339999999923
24.0,34.0,12.84943,0.00161,12.436812,13.400313,12.690422,12.780964,12.431131,12.504201,58.0,501.351884,12.849436000000026,501.1948200000001,12.696124000000111
24.0,36.0,10.82041,0.1936,11.1851,11.563855,11.014374,11.475662,11.125668,10.635904,60.0,512.1723000000001,10.82041600000008,512.00658,10.811759999999879
24.0,38.0,10.36802,0.24374,11.381444,10.355088,10.696072,10.669905,10.423377,9.967672,62.0,522.540278,10.36797799999988,522.059902,10.05332199999998
25.0,26.0,26.76588,0.00223,26.73277,25.751181,26.092062,26.06719,26.374869,26.213978,51.0,440.32237200000003,26.765851000000055,440.319873,26.768399000000045
25.0,28.0,22.58887,0.00066,23.993373,22.925756,22.986342,23.042967,23.636908,23.000727,53.0,462.91127499999993,22.588902999999902,462.909049,22.58917600000001
25.0,30.0,19.16493,0.00043,19.542749,20.358613,19.260926,19.682962,20.136101,19.130142,55.0,482.07621,19.16493500000007,482.07433999999995,19.165290999999968
